Month,Day,Tota_Daily_Revenue
5,1,115939.0
5,2,71307.0
5,3,74514.0
5,4,87670.0
5,5,103013.0
5,6,107134.0
5,7,89149.0
5,8,99248.0
5,9,53189.0
5,10,69569.0
5,11,90554.0
5,12,55290.0
5,13,62027.0
5,14,85293.0
5,15,100200.0
5,16,112582.0
5,17,83033.0
5,18,69858.0
5,19,59777.0
5,20,49170.0
5,21,45390.0
5,22,55059.0
5,23,54607.0
5,24,55602.0
5,25,47306.00000000001
5,26,51202.0
5,27,36253.0
5,28,30261.0
5,29,29322.0
5,30,32078.0
5,31,23486.0
7,1,281691.0
7,2,306320.0
7,3,433401.00000000006
7,4,79784.77777777778
7,5,145878.0
7,6,62319.99999999999
7,7,39637.0
7,8,58256.0
7,9,67764.0
7,10,405096.0
7,11,129182.0
7,12,212743.0
7,13,478583.0
7,14,197643.0
7,15,393836.0
7,16,155518.0
7,17,370635.0
7,18,128228.0
7,19,184570.0
7,20,972595.9999999999
7,21,396242.0
7,22,450869.00000000006
7,23,388699.3333333333
7,24,203105.0
7,25,91422.0
7,26,136674.0
7,27,94162.0
7,28,117343.0
7,29,134386.0
7,30,236621.0
7,31,405232.0
8,1,283624.0
8,2,281674.0
8,3,317679.0
8,4,490780.0
8,5,448080.99999999994
8,6,5218187.0
8,7,1474524.0
8,8,518263.0
8,9,1139263.0
8,10,3302845.0
8,11,466666.0
8,12,1162395.0
8,13,855539.0
8,14,989219.0
8,15,3206780.0
8,16,3716800.0
8,17,2992306.0
8,18,1861848.0
8,19,1037911.0
8,20,1846631.0
8,21,467692.0
8,22,382686.0
8,23,3018947.0
8,24,6495972.0
8,25,12101819.0
8,26,11493132.0
8,27,9618193.0
8,28,3042841.0
8,29,954317.0
8,30,6228493.0
8,31,1792750.0
9,1,763914.0
9,2,708239.0
9,3,334715.0
9,4,83888.0
9,5,386700.0
9,6,2014430.0
9,7,5872978.0
9,8,5947950.0
9,9,448734.0
9,10,83125.0
9,11,60579.0
9,12,77290.0
9,13,53586.0
9,14,32592.0
9,15,57692.0
9,16,35213.0
9,17,68033.0
9,18,40910.0
9,19,38123.0
9,20,352489.0
9,21,69761.0
9,22,52552.0
9,23,192765.0
9,24,483575.0
9,25,199237.0
9,26,530969.0
9,27,838656.0
9,28,118530.0
9,29,73840.0
9,30,49560.0
