Hour,Day,Month,Energy_Charged,Energy_Discharged,Regulation_UP,Regulation_Down
1,1,6,0,0.0,0,0.0
2,1,6,0,0.0,0,0.0
3,1,6,0,0.0,0,0.0
4,1,6,0,0.0,0,0.0
5,1,6,0,0.0,0,0.0
6,1,6,0,0.0,0,0.0
7,1,6,0,0.0,0,0.0
8,1,6,0,0.0,0,0.0
9,1,6,0,0.0,0,0.0
10,1,6,0,0.0,0,0.0
11,1,6,0,0.0,0,0.0
12,1,6,0,0.0,0,0.0
13,1,6,0,0.0,0,0.0
14,1,6,0,0.0,0,0.0
15,1,6,0,0.0,0,0.0
16,1,6,0,0.0,0,0.0
17,1,6,0,0.0,0,0.0
18,1,6,0,0.0,0,0.0
19,1,6,0,0.0,0,100.0
20,1,6,0,0.0,0,0.0
21,1,6,0,0.0,0,0.0
22,1,6,0,100.0,0,0.0
23,1,6,0,0.0,0,0.0
24,1,6,0,0.0,0,0.0
1,2,6,0,0.0,0,0.0
2,2,6,0,0.0,0,0.0
3,2,6,0,0.0,0,0.0
4,2,6,0,0.0,0,0.0
5,2,6,0,0.0,0,0.0
6,2,6,0,0.0,0,0.0
7,2,6,0,0.0,0,0.0
8,2,6,0,0.0,0,0.0
9,2,6,0,0.0,0,0.0
10,2,6,0,0.0,0,0.0
11,2,6,0,0.0,0,0.0
12,2,6,0,0.0,0,0.0
13,2,6,0,0.0,0,0.0
14,2,6,0,0.0,0,0.0
15,2,6,0,0.0,0,0.0
16,2,6,0,0.0,0,0.0
17,2,6,0,0.0,0,0.0
18,2,6,0,0.0,0,0.0
19,2,6,0,0.0,0,100.0
20,2,6,0,0.0,0,0.0
21,2,6,0,0.0,0,0.0
22,2,6,0,100.0,0,0.0
23,2,6,0,0.0,0,0.0
24,2,6,0,0.0,0,0.0
1,3,6,0,0.0,0,0.0
2,3,6,0,0.0,0,0.0
3,3,6,0,0.0,0,0.0
4,3,6,0,0.0,0,0.0
5,3,6,0,0.0,0,0.0
6,3,6,0,0.0,0,0.0
7,3,6,0,0.0,0,0.0
8,3,6,0,0.0,0,0.0
9,3,6,0,0.0,0,0.0
10,3,6,0,0.0,0,0.0
11,3,6,0,0.0,0,0.0
12,3,6,0,0.0,0,0.0
13,3,6,0,0.0,0,0.0
14,3,6,0,0.0,0,0.0
15,3,6,0,0.0,0,0.0
16,3,6,0,0.0,0,0.0
17,3,6,0,100.0,0,100.0
18,3,6,0,0.0,0,0.0
19,3,6,0,0.0,0,0.0
20,3,6,0,0.0,0,0.0
21,3,6,0,0.0,0,0.0
22,3,6,0,0.0,0,0.0
23,3,6,0,0.0,0,0.0
24,3,6,0,0.0,0,0.0
