Hour,Day,Month,State_of_Charge
1,1,11,100.0
2,1,11,100.0
3,1,11,100.0
4,1,11,100.0
5,1,11,100.0
6,1,11,100.0
7,1,11,100.0
8,1,11,10.0
9,1,11,100.0
10,1,11,100.0
11,1,11,100.0
12,1,11,100.0
13,1,11,100.0
14,1,11,100.0
15,1,11,100.0
16,1,11,100.0
17,1,11,100.0
18,1,11,100.0
19,1,11,100.0
20,1,11,100.0
21,1,11,100.0
22,1,11,100.0
23,1,11,100.0
24,1,11,100.0
1,2,11,100.0
2,2,11,100.0
3,2,11,100.0
4,2,11,100.0
5,2,11,100.0
6,2,11,100.0
7,2,11,100.0
8,2,11,100.0
9,2,11,10.0
10,2,11,10.0
11,2,11,10.0
12,2,11,10.0
13,2,11,10.0
14,2,11,10.0
15,2,11,10.0
16,2,11,10.0
17,2,11,10.0
18,2,11,10.0
19,2,11,100.0
20,2,11,100.0
21,2,11,100.0
22,2,11,100.0
23,2,11,100.0
24,2,11,100.0
1,3,11,100.0
2,3,11,100.0
3,3,11,100.0
4,3,11,100.0
5,3,11,100.0
6,3,11,100.0
7,3,11,10.0
8,3,11,100.0
9,3,11,100.0
10,3,11,100.0
11,3,11,100.0
12,3,11,100.0
13,3,11,100.0
14,3,11,100.0
15,3,11,100.0
16,3,11,100.0
17,3,11,100.0
18,3,11,10.0
19,3,11,100.0
20,3,11,100.0
21,3,11,100.0
22,3,11,100.0
23,3,11,100.0
24,3,11,100.0
1,4,11,100.0
2,4,11,100.0
3,4,11,100.0
4,4,11,100.0
5,4,11,100.0
6,4,11,100.0
7,4,11,100.0
8,4,11,190.0
9,4,11,200.0
10,4,11,200.0
11,4,11,200.0
12,4,11,200.0
13,4,11,200.0
14,4,11,200.0
15,4,11,200.0
16,4,11,200.0
17,4,11,200.0
18,4,11,110.0
19,4,11,20.0
20,4,11,20.0
21,4,11,20.0
22,4,11,20.0
23,4,11,20.0
24,4,11,20.0
1,5,11,20.0
2,5,11,90.0
3,5,11,90.0
4,5,11,90.0
5,5,11,90.0
6,5,11,90.0
7,5,11,90.0
8,5,11,90.0
9,5,11,180.0
10,5,11,180.0
11,5,11,180.0
12,5,11,180.0
13,5,11,180.0
14,5,11,180.0
15,5,11,180.0
16,5,11,180.0
17,5,11,90.0
18,5,11,0.0
19,5,11,0.0
20,5,11,0.0
21,5,11,0.0
22,5,11,0.0
23,5,11,0.0
24,5,11,0.0
1,6,11,0.0
2,6,11,0.0
3,6,11,0.0
4,6,11,0.0
5,6,11,0.0
6,6,11,0.0
7,6,11,0.0
8,6,11,90.0
9,6,11,180.0
10,6,11,180.0
11,6,11,180.0
12,6,11,180.0
13,6,11,180.0
14,6,11,180.0
15,6,11,180.0
16,6,11,180.0
17,6,11,90.0
18,6,11,0.0
19,6,11,0.0
20,6,11,0.0
21,6,11,0.0
22,6,11,0.0
23,6,11,0.0
24,6,11,0.0
1,7,11,0.0
2,7,11,0.0
3,7,11,0.0
4,7,11,0.0
5,7,11,0.0
6,7,11,0.0
7,7,11,0.0
8,7,11,0.0
9,7,11,90.0
10,7,11,90.0
11,7,11,90.0
12,7,11,90.0
13,7,11,90.0
14,7,11,90.0
15,7,11,90.0
16,7,11,90.0
17,7,11,0.0
18,7,11,0.0
19,7,11,0.0
20,7,11,0.0
21,7,11,0.0
22,7,11,0.0
